timestamp,model,language,prompt_id,seed,status,output_path,error,duration_s
2026-05-21T21:51:36.484029,sd15,en,P001,42,FAIL,,"ReplicateError Details:
title: Invalid version or not permitted
status: 422
detail: The specified version does not exist (or perhaps you don't have permission to use it?)",0.9
2026-05-21T21:51:41.644818,sd15,en,P001,123,FAIL,,"ReplicateError Details:
status: 429
detail: Request was throttled. Your rate limit for creating predictions is reduced to 6 requests per minute with a burst of 1 requests while you have less than $5.0 in credit. Your rate limit resets in ~5s.",0.1
2026-05-21T21:51:48.447894,sd15,en,P002,42,FAIL,,"ReplicateError Details:
title: Invalid version or not permitted
status: 422
detail: The specified version does not exist (or perhaps you don't have permission to use it?)",1.8
2026-05-21T21:51:53.794053,sd15,en,P002,123,FAIL,,"ReplicateError Details:
status: 429
detail: Request was throttled. Your rate limit for creating predictions is reduced to 6 requests per minute with a burst of 1 requests while you have less than $5.0 in credit. Your rate limit resets in ~5s.",0.3
2026-05-21T21:51:59.212048,sd15,en,P003,42,FAIL,,"ReplicateError Details:
title: Invalid version or not permitted
status: 422
detail: The specified version does not exist (or perhaps you don't have permission to use it?)",0.4
2026-05-21T21:52:04.555900,sd15,en,P003,123,FAIL,,"ReplicateError Details:
status: 429
detail: Request was throttled. Your rate limit for creating predictions is reduced to 6 requests per minute with a burst of 1 requests while you have less than $5.0 in credit. Your rate limit resets in ~5s.",0.3
2026-05-21T21:52:09.807216,sd15,en,P004,42,FAIL,,"ReplicateError Details:
title: Invalid version or not permitted
status: 422
detail: The specified version does not exist (or perhaps you don't have permission to use it?)",0.2
2026-05-21T21:52:15.171523,sd15,en,P004,123,FAIL,,"ReplicateError Details:
status: 429
detail: Request was throttled. Your rate limit for creating predictions is reduced to 6 requests per minute with a burst of 1 requests while you have less than $5.0 in credit. Your rate limit resets in ~5s.",0.3
2026-05-21T21:52:20.656869,sd15,en,P005,42,FAIL,,"ReplicateError Details:
title: Invalid version or not permitted
status: 422
detail: The specified version does not exist (or perhaps you don't have permission to use it?)",0.5
2026-05-21T21:52:25.840563,sd15,en,P005,123,FAIL,,"ReplicateError Details:
status: 429
detail: Request was throttled. Your rate limit for creating predictions is reduced to 6 requests per minute with a burst of 1 requests while you have less than $5.0 in credit. Your rate limit resets in ~5s.",0.2
2026-05-21T21:52:31.127670,sd15,en,P006,42,FAIL,,"ReplicateError Details:
title: Invalid version or not permitted
status: 422
detail: The specified version does not exist (or perhaps you don't have permission to use it?)",0.3
2026-05-21T21:52:36.491428,sd15,en,P006,123,FAIL,,"ReplicateError Details:
status: 429
detail: Request was throttled. Your rate limit for creating predictions is reduced to 6 requests per minute with a burst of 1 requests while you have less than $5.0 in credit. Your rate limit resets in ~5s.",0.3
2026-05-21T21:52:42.809919,sd15,en,P007,42,FAIL,,"ReplicateError Details:
title: Invalid version or not permitted
status: 422
detail: The specified version does not exist (or perhaps you don't have permission to use it?)",1.3
2026-05-21T21:52:48.487496,sd15,en,P007,123,FAIL,,"ReplicateError Details:
status: 429
detail: Request was throttled. Your rate limit for creating predictions is reduced to 6 requests per minute with a burst of 1 requests while you have less than $5.0 in credit. Your rate limit resets in ~5s.",0.7
2026-05-21T21:52:54.405410,sd15,en,P008,42,FAIL,,"ReplicateError Details:
title: Invalid version or not permitted
status: 422
detail: The specified version does not exist (or perhaps you don't have permission to use it?)",0.9
2026-05-21T21:53:00.222370,sd15,en,P008,123,FAIL,,"ReplicateError Details:
status: 429
detail: Request was throttled. Your rate limit for creating predictions is reduced to 6 requests per minute with a burst of 1 requests while you have less than $5.0 in credit. Your rate limit resets in ~5s.",0.8
2026-05-21T21:53:05.871767,sd15,en,P009,42,FAIL,,"ReplicateError Details:
title: Invalid version or not permitted
status: 422
detail: The specified version does not exist (or perhaps you don't have permission to use it?)",0.6
2026-05-21T21:53:11.072739,sd15,en,P009,123,FAIL,,"ReplicateError Details:
status: 429
detail: Request was throttled. Your rate limit for creating predictions is reduced to 6 requests per minute with a burst of 1 requests while you have less than $5.0 in credit. Your rate limit resets in ~5s.",0.2
2026-05-21T21:53:16.486361,sd15,en,P010,42,FAIL,,"ReplicateError Details:
title: Invalid version or not permitted
status: 422
detail: The specified version does not exist (or perhaps you don't have permission to use it?)",0.4
