brief_id,model,language,node1_pass,node1_score,node1_short_circuit,node2_pass,node2_score,node2_skipped,node3_pass,node3_score,node3_skipped,node4_pass,node4_score,node4_skipped,node4_skipped_reason,node4_clcg_interpretable,node5_pass,node5_score,compliance_score,failure_diagnosis,compliant,output_path
MB039,sd15,de,True,1.0,False,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.6011,0.6601,[MB039] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\de\MB039_seed42.png
MB070,sd15,de,False,0.5,True,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.6146,0.5115,[MB070] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\de\MB070_seed42.png
MB048,sd15,de,True,1.0,False,True,1.0,False,True,1.0,False,,0.0,True,sd15_architectural,False,True,0.6116,0.7612,[MB048] NON-COMPLIANT — Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\de\MB048_seed42.png
MB110,sd15,de,False,0.5,True,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5958,0.5096,[MB110] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\de\MB110_seed42.png
MB005,sd15,de,True,1.0,False,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.604,0.6604,[MB005] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\de\MB005_seed42.png
MB066,sd15,de,True,1.0,False,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.6035,0.6603,[MB066] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\de\MB066_seed42.png
MB079,sd15,de,True,1.0,False,True,1.0,False,False,0.0,False,,0.0,True,sd15_architectural,False,True,0.5965,0.5596,[MB079] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\de\MB079_seed42.png
MB082,sd15,de,False,0.5,True,True,1.0,False,True,1.0,False,,0.0,True,sd15_architectural,False,True,0.5944,0.6094,[MB082] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\de\MB082_seed42.png
MB067,sd15,de,False,0.5,True,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5967,0.5097,[MB067] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\de\MB067_seed42.png
MB118,sd15,de,True,1.0,False,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5967,0.6597,[MB118] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\de\MB118_seed42.png
MB023,sd15,de,False,0.0,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5959,0.1596,[MB023] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\de\MB023_seed42.png
