rating_id,brief_id,model,language,output_path
R1-001,MB074,sd15,fr,data\generated_images\phase2b\sd15\fr\MB074_seed42.png
R1-002,MB011,sd15,fr,data\generated_images\phase2b\sd15\fr\MB011_seed42.png
R1-003,MB005,sd15,de,data\generated_images\phase2b\sd15\de\MB005_seed42.png
R1-004,MB109,sd15,fr,data\generated_images\phase2b\sd15\fr\MB109_seed42.png
R1-005,MB067,flux,de,data\generated_images\phase2b\flux\de\MB067_seed42.png
R1-006,MB089,flux,fr,data\generated_images\phase2b\flux\fr\MB089_seed42.png
R1-007,MB096,flux,fr,data\generated_images\phase2b\flux\fr\MB096_seed42.png
R1-008,MB023,sd15,de,data\generated_images\phase2b\sd15\de\MB023_seed42.png
R1-009,MB048,sd15,fr,data\generated_images\phase2b\sd15\fr\MB048_seed42.png
R1-010,MB090,flux,es,data\generated_images\phase2b\flux\es\MB090_seed42.png
R1-011,MB041,sd15,de,data\generated_images\phase2b\sd15\de\MB041_seed42.png
R1-012,MB007,flux,fr,data\generated_images\phase2b\flux\fr\MB007_seed42.png
R1-013,MB056,sd15,de,data\generated_images\phase2b\sd15\de\MB056_seed42.png
R1-014,MB106,flux,de,data\generated_images\phase2b\flux\de\MB106_seed42.png
R1-015,MB120,sd15,es,data\generated_images\phase2b\sd15\es\MB120_seed42.png
R1-016,MB052,sd15,es,data\generated_images\phase2b\sd15\es\MB052_seed42.png
R1-017,MB018,flux,es,data\generated_images\phase2b\flux\es\MB018_seed42.png
R1-018,MB039,sd15,de,data\generated_images\phase2b\sd15\de\MB039_seed42.png
R1-019,MB131,sd15,es,data\generated_images\phase2b\sd15\es\MB131_seed42.png
R1-020,MB027,flux,es,data\generated_images\phase2b\flux\es\MB027_seed42.png
R1-021,MB094,flux,fr,data\generated_images\phase2b\flux\fr\MB094_seed42.png
R1-022,MB060,sd15,fr,data\generated_images\phase2b\sd15\fr\MB060_seed42.png
R1-023,MB033,flux,de,data\generated_images\phase2b\flux\de\MB033_seed42.png
R1-024,MB088,flux,fr,data\generated_images\phase2b\flux\fr\MB088_seed42.png
R1-025,MB005,sd15,fr,data\generated_images\phase2b\sd15\fr\MB005_seed42.png
R1-026,MB058,sd15,de,data\generated_images\phase2b\sd15\de\MB058_seed42.png
R1-027,MB051,sd15,de,data\generated_images\phase2b\sd15\de\MB051_seed42.png
R1-028,MB105,flux,es,data\generated_images\phase2b\flux\es\MB105_seed42.png
